COMMENTS,SITE_NAME,BAND,LAT,LONG,SECTOR,Marker 
"No data provided for either the CSO or the influent, as such these have been recorded as Major non-compliances. Various issues with autosamplers during 2014, with an Enforcement Notice being served. Environmnetal event during July 2014 resulted in enforcement action being taken.","Dunnswood STW, Wardpark Ind Est, C'nauld",Very Poor,55.9724862,-3.9537261,Sewage (Public),2
"The operator has yet to implement an operating and  monitoring regime that will allow them to ensure that the licence limits can be complied with. SEPA are working closely with the operator to gain compliance with the requirements of the licence.
",HIAL Inverness Airport,Very Poor,57.5395713,-4.0635625,Other Effluent,2
The required Hands-Off-Flow was not always delivered. The minimum abstraction to the mill lade was not always met. A category 2 Environmental Event occurred during authorised engineering works resulting in a significant release of sediment to the downstream water environment.,"Philiphaugh Trust, Philiphaugh Mill, Selkirk",Very Poor,55.5433257,-2.8608752,Water Resources ,2
"Exceedence of  medicine residue in sediment
","Rubha nan Gall MCFF, Loch Tuath ",Very Poor,56.4927814,-6.1947952,Fish farming,2
"Multiple failures of effluent discharge standards.
","Shetland Gas Plant, Mossbank, Shetland",Very Poor,60.4638544,-1.2551112,Sewage (Private),2
Licence non-compliances identified during hydro scheme and impoundment construction activities. Non submission of 2014 data returns.,"Druimavuic Hydro Scheme, Glencreran Estate",Very Poor,56.5526608,-5.2441733,Water Resources ,2
Operator assessed as Very Poor because of  management issues and a significant breach cause by inappropriate waste storage.  Improved management commitment through the latter part of 2014 and action plan in place for early 2015.,"Galdenoch Waste Disp Site, Leswalt, Stranraer",Very Poor,54.93197,-5.1357089,Waste,2
"In 2014 the Operator removed the whey drier from the site which was a major source of particulate matter releases.  However there are still a number of outstanding concerns regarding the effluent plant, bunding and hard standing for the protection of the ground water and soil.  ","Arla Foods Ltd, Lockerbie",Very Poor,55.1198238,-3.4079851,Other Activities,2
"The site was inspected during the 2014 assessment year and a number of breaches of permit conditions were identified. There operator has also failed to submit reports in relation to site infrastructure. In addition a number of odour complaints were received during 2014 which were substantiated.


","The Creamery, Commerce Rd, Stranraer, Wigtown",Very Poor,54.8978089,-5.0214343,Other Activities,2
The operator has been assessed as very poor in 2014 following significant breaches of acceptable waste types for disposal in specified parts of the site.  There were also major breaches of management conditions relating to report provision.,"W Hamilton & Sons, Dovesdale Farm LF,Stonehse",Very Poor,55.6959807,-3.9481915,Waste,2
"The Permit for the site is currently suspended in so far as the site can dispose of waste including receipt, handling and storage of waste.  The site continues to have non inert waste deposited on site, contrary to the Permit.  The Operator is still required to submit monitoring results,  monitoring reports and details on Financial Provision which have not been received by SEPA. ","Muirhouse LF, Muirhouse Quarry, Strathblane",Very Poor,55.9740218,-4.296935,Waste,2
This site has not accepted waste since July 2013.  Work to comply with the 2013 Notice was on-going throughout 2014 and the site is now cleared of all waste and potentially polluting raw materials. The very poor CAS rating reflects the fact that most aspects of the revocation notice were not fully complied with throughout the majority of the year. A Revocation Notice compliance report has now been submitted and is currently being assessed.  ,"Dargavel Energy From Waste Facility, Dumfries",Very Poor,55.0799272,-3.5464745,Waste,2
Operator is assessed as very poor as a result of a significant breach of waste types acceptable under the terms of the Permit and major breaches of management conditions,Auchenlosh Landfill Site,Very Poor,54.9293099,-3.7904175,Waste,2
"Failings in several aspects of the Operator's management systems, in combination with the significant environmental event in November, resulted in the ""Very Poor"" performance recorded for 2014.  Incident identification, notification and response were all deemed inadequate and raised serious concerns regarding staff training and knowledge of the permit conditions including data returns and reporting.","Healthcare Environmental Services, Dundee",Very Poor,56.4752681,-3.0571876,Waste,2
Annual emissions to air for particulate monitoring not carried out for compliance year 2014 and annual solvent management plan for compliance year 2014 not submitted therefore unable to demonstrate compliance.,"Surface Technology TS, Colvilles Place, EK",Very Poor,55.7507578,-4.1571834,Other Activities,2
"Repeated formal and informal communication to the company to encourage operator to undertake required stack testing, submit the results and provide compliant solvent emission data has not been successful. ","Gemini Corrosion Services Ltd, Montrose",Very Poor,56.7337229,-2.4660215,Other Activities,2
Odour from the site detected outwith the site boundary and substantiated by SEPA Officers on a signficant number of occasions. These constitute Environmental Limit Condition Breaches. Site management have not met all the reporting requirements of the site permit in 2014. These constitute Environmental Management Condition Breaches.       ,"Knowes Farm IV Landfill Site, Beith",Very Poor,55.764453,-4.6434136,Waste,2
"Barr Environmental Limited's compliance performance assessment for operating Garlaff Landfill Site during 2014 was very poor.There were gross and significant breaches of the environmental limit condition concerned with the trade effluent discharge.
There were major non compliances with environmental management conditions concerning site infrastructure and response to an incident.","Barr Environ, Garlaff L/F, Skares Rd, Cumnock",Very Poor,55.4306834,-4.3072018,Waste,2
"FCC Environmental s compliance at Greengairs Landfill Site for 2014 was very poor.
There were repeated minor breaches of odours being detected beyond the site boundary and cover not being adequately covered.
There were major non compliances with environment management conditions  at the site specifically the gas management system did not prevent landfill gas being detected beyond the site boundary, the wheel wash facility at the site was not fit for purpose to prevent fouling of Meikle Drumgray Road and tanks for storing liquids on site were not located in bunds.
","Greengairs L/F, Meikle Drumgray Rd, Airdrie",Very Poor,55.9060252,-3.938718,Waste,2
Non compliance with engineering condition relating to capping of older phase and on-going gas management concerns,"Greenoakhill L/F Site, Hamilton Rd, Glasgow",Very Poor,55.8390158,-4.1317721,Waste,2
" During the 2014 assessment year the site has failed to address a number of outstanding non-compliances and in addition there has also been substantiated odour complaints. The operator has failed to submit data as required in the permit conditions.



",Omega Proteins Ltd,Very Poor,55.0532577,-3.5142918,Other Activities,2
During 2014 the site was considered as unsatisfactory following the acceptance of unauthorised waste types (scrap metals) and incomplete depollution of motor vehicles with such vehicles being stored on permeable surfaces. ,"Forsyths ELV, Northfield Yd, Dunipace, Denny",Very Poor,56.048475,-3.9264324,Metal Recycling & ELV,2
"Non permitted waste types on site - gas bottles and asbestos. No sealed drainage system in place at the waste transfer station. Working plan requires to be reviewed.
","LH Spence&Sons, Brackmont Mill LF, St Andrews",Very Poor,56.3899584,-2.9139462,Disposal & Associated Activities,2
"Several non-compliances were recorded in 2014. These primarily related to the inadequate provision of pest control, not storing waste in designated areas, and poor house-keeping. A number of actions were taken by SEPA to secure compliance with licence conditions, including the issue of 3 enforcement notices, the modification and consolidation of the licence, and the agreement of an updated Working Plan. ","Green Circle 1-5  Abbotsinch Rd, Grangemouth",Very Poor,56.0140071,-3.7046947,Transfer Station & Associated Activities,2
"No up to date working plan. Site security is compromised. Large volume of tyres deposited on site - these are not permitted waste types unless removed from a waste vehicle on site. No noticeboard in place. Waste Data Returns have not be submitted for 2014.
","Bauld Autobreakers ELV,Cartmore Ind Est",Very Poor,56.1390236,-3.3137999,Metal Recycling & ELV,2
"The overall CAS assessment for 2014 is 'Very Poor' as there are many non-compliance issues at this site which have not been addressed during 2014, namely non-submission of data returns, poor housekeeping, exceedance of the licenced waste quantity and various depollution process issues.","Crowbyres Yard, Liddesdale Road, Hawick",Very Poor,55.411821,-2.7851316,Metal Recycling & ELV,2
Site licence is currently suspended  for non-compliance with specific Licence Conditions. The operator has not demonstrated compliance since that date of suspension and the licence remains suspended.,"Doonin Plant Ltd, Mill Rd, Armadale",Very Poor,55.9059133,-3.724682,Transfer Station & Associated Activities,2
Does not meet standard of End of Life Vehicle regulations. No data returns for Quarter 2-4 2014.  Stockpiling tyres.,"Charles Barton Scrapyard, Crowness Cres, Ork",Very Poor,58.9911903,-2.9784957,Metal Recycling & ELV,2
-,"Big Breck Quarry, Twatt, Orkney",Very Poor,59.1026765,-3.2819667,Transfer Station & Associated Activities,2
-,"179 Drakemire Drive, Glasgow",Very Poor,55.8039662,-4.2502881,Transfer Station & Associated Activities,2
"Numerous of non-compliances were recorded throughout 2014. As the site failed to remedy the non-compliances, a number of enforcement actions were taken against the company.  The Licence Holder left the premises at the beginning of May 2014 and no waste operations have been carried out there since then. 
However, all waste remain in situ.  ","B Shed, Forest Products Terminal, Grangemouth",Very Poor,56.0267199,-3.7003126,Transfer Station & Associated Activities,2
"The site has been assessed as Very Poor due to licence breaches relating to lack of site infrastructure and waste storage facilities, lack of cleaning of storage areas, exceeding maximum storage periods for unsegregated waste and failure to submit all waste data returns for 2014.","Unit 7, Metcalfe Place, Irvine",Very Poor,55.5956593,-4.6425409,Transfer Station & Associated Activities,2
-,"P H Skip Hire, 2230 London Road, Glasgow",Very Poor,55.8357548,-4.1598368,Transfer Station & Associated Activities,2
"Waste is stored on unsuitable surfaces, with significant quantities also stored outwith licensed area. Site infrastructure continues to be very poor and unsuitable for an operation of this type.

","Bushelgreens MR, Maud, Peterhead",Very Poor,57.4870064,-2.1818806,Metal Recycling & ELV,2
"  A number of non-compliance issues were identified at the site as part of a  project.  These issues were not rectified and as a result an enforcement notice requiring compliance with site licence conditions was served.  The matters listed in this notice were not complied with by the notice deadline.  Conseqently a notice suspending part of the site licence (allowing waste acceptance at the site) was served.  Compliance with the enforcement was achieved by 22 December 2014.  At this point, waste was permitted to be accepted at the site. ","Highland Clearance, Metal RC , Muir of Ord",Very Poor,57.5022411,-4.4522246,Metal Recycling & ELV,2
"Plant and infrastructure not to an appropriate standard. Total quantity of waste stored on site exceeds licence limits. Litter/debris from site identified outwith site boundary.
","60 North Recycling Ltd TS, Rova Head, Lerwick",Very Poor,60.1877058,-1.1529785,Metal Recycling & ELV,2
The keeping and treatment of waste motor vehicles do not fully conform with End of Life Vehicles (Storage and Treatment) (Scotland) Regulations 2003.  The Working Plan is inadequate in that it does not detail the storage facilities provided for the different types of waste.,"Highland Car Crushers,ELV & MRF, Inverness",Very Poor,57.4880372,-4.2447157,Metal Recycling & ELV,2
SEPA is undertaking Enforcement Action  in relation to non-compliances on site.,"Alness Autobreakers, MRF,Evanton Ind Est",Very Poor,57.6744516,-4.3083225,Metal Recycling & ELV,2
"Numerous non-compliances; relating to site infrasturcture, management  proceedures & pollution control
","Dalton Demolitions MR, Atlas Works, Airdrie",Very Poor,55.865459,-3.9631282,Metal Recycling & ELV,2
"Numerous non-compliances noted; site infrastructure mainly drainage, waste acceptence and general knowledge of the licence.
","Dalton Group Ltd, Locks Street, Coatbridge",Very Poor,55.8579398,-4.008607,Metal Recycling & ELV,2
"Operator storing waste outwith the licensed boundary.   Acceptance and storage of wastes not permitted and data returns not submitted.
","J Leckie & Sons TS,Allanshaw Ind Est,Hamilton",Very Poor,55.7754549,-4.0522907,Transfer Station & Associated Activities,2
"Numerous non-compliance noted; waste storage, incident procedures, monitoring, management proceedures and record keeping.
","ASAP Contracts T/S, 50 Sykesdie Road, Airdrie",Very Poor,55.8517225,-3.9947064,Transfer Station & Associated Activities,2
-,"Buchley Eco Centre, Bishopbriggs",Very Poor,55.9244961,-4.24723,Other Treatment Activities,2
